No,Map,Total AGVs,Horizontal Time,Time step,Solution,Num of Reaching Target AGVs,Num of Halting AGVs,Objective Value,Running Time(s),# Of Solving
1,Redundant3x3Wards.txt,5,300,10,networkx,2,3,482.0,116.21724653244019,0.17401257583073207
2.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,480.0,117.88920903205872,0.13690331886554585
3.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,568.0,111.41327810287476,0.11491555326125201
4.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,479.0,97.79989790916443,0.18445315815153576
5.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,302.0,117.01924276351929,0.14755398035049438
6.0,Redundant3x3Wards.txt,5,300,10,solver,2,3,272.0,628.0307579040527,13.882799526315793
7.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,486.0,96.09252452850342,0.15662766084438418
8.0,Redundant3x3Wards.txt,5,300,10,solver,2,3,488.0,964.2445023059845,21.261164724999997
9.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,280.0,126.28561925888062,0.1654108950966283
10.0,Redundant3x3Wards.txt,5,300,10,solver,2,3,266.0,575.879595041275,15.68977751724138
11.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,498.0,113.87838625907898,0.12573089049412653
12.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,502.0,119.1952657699585,0.1620596590496245
13.0,Redundant3x3Wards.txt,5,300,10,solver,2,3,274.0,610.2630076408386,17.16594557142857
14.0,Redundant3x3Wards.txt,5,900,10,networkx,5,0,3670.0,2395.871140241623,1.4995194182676428
15.0,Redundant3x3Wards.txt,5,900,10,networkx,5,0,3670.0,1495.2410054206848,1.1458632665521957
16.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,634.0,12.516715049743652,0.12776403625806174
17.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,634.0,11.03033447265625,0.11124081412951152
18.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,634.0,11.70895791053772,0.12145559986432393
19.0,Redundant3x3Wards.txt,5,300,10,solver,2,3,600.0,464.88326239585876,12.638368028571431
20.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,634.0,12.51472806930542,0.12444159388542175
21.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,634.0,12.94784164428711,0.12568295001983643
22.0,Redundant3x3Wards.txt,5,300,10,solver,2,3,600.0,583.4854471683502,15.890087400000002
23.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,634.0,12.550331354141235,0.12525424361228943
24.0,Redundant3x3Wards.txt,5,300,10,networkx,2,3,634.0,11.936471939086914,0.11988505721092224
25.0,Redundant3x3Wards.txt,5,300,10,solver,2,3,600.0,530.7533068656921,14.459762771428569
